Vocabulary,Segmented Vocabulary,Telex Combination
lại mũi,lại_mũi,laji_muxi
lại người,lại_người,laji_nguwowfi
lại nhà,lại_nhà,laji_nhaf
lại nữa,lại_nữa,laji_nuwxa
lại quả,lại_quả,laji_quar
lại sức,lại_sức,laji_suwsc
lam,lam,lam
lam chướng,lam_chướng,lam_chuwowsng
lam-đa,lam-đa,lam-dda
lam đồng,lam_đồng,lam_ddoofng
lam khí,lam_khí,lam_khis
lam làm,lam_làm,lam_lafm
lam lũ,lam_lũ,lam_lux
lam nham,lam_nham,lam_nham
lam sơn chướng khí,lam_sơn_chướng_khí,lam_sown_chuwowsng_khis
lam sơn thực lục,lam_sơn_thực_lục,lam_sown_thuwjc_lujc
làm,làm,lafm
làm ải,làm_ải,lafm_ari
làm ăn,làm_ăn,lafm_awn
làm ân nên oán,làm_ân_nên_oán,lafm_aan_neen_oasn
làm ẩu,làm_ẩu,lafm_aaru
làm bài,làm_bài,lafm_bafi
làm bàm,làm_bàm,lafm_bafm
làm bàn,làm_bàn,lafm_bafn
làm bạn,làm_bạn,lafm_bajn
làm bằng,làm_bằng,lafm_bawfng
làm bậy,làm_bậy,lafm_baajy
làm bé,làm_bé,lafm_bes
làm bếp,làm_bếp,lafm_beesp
làm bia đỡ đạn,làm_bia_đỡ_đạn,lafm_bia_ddowx_ddajn
làm biếng,làm_biếng,lafm_bieesng
làm bỏ xác,làm_bỏ_xác,lafm_bor_xasc
làm bộ,làm_bộ,lafm_booj
làm bộ làm tịch,làm_bộ_làm_tịch,lafm_booj_lafm_tijch
làm bỡn ăn thật,làm_bỡn_ăn_thật,lafm_bowxn_awn_thaajt
làm cái,làm_cái,lafm_casi
làm cảnh,làm_cảnh,lafm_carnh
làm cao,làm_cao,lafm_cao
làm chay,làm_chay,lafm_chay
làm chi,làm_chi,lafm_chi
làm chiêm,làm_chiêm,lafm_chieem
làm cho,làm_cho,lafm_cho
làm chơi ăn thật,làm_chơi_ăn_thật,lafm_chowi_awn_thaajt
làm chủ,làm_chủ,lafm_chur
làm chứng,làm_chứng,lafm_chuwsng
làm cỏ,làm_cỏ,lafm_cor
làm cỗ,làm_cỗ,lafm_coox
làm cỗ sẵn cho người ăn,làm_cỗ_sẵn_cho_người_ăn,lafm_coox_sawxn_cho_nguwowfi_awn
làm công,làm_công,lafm_coong
làm cơm,làm_cơm,lafm_cowm
làm dáng,làm_dáng,lafm_dasng
làm dầm,làm_dầm,lafm_daafm
làm dâu,làm_dâu,lafm_daau
làm dâu mấy cửa,làm_dâu_mấy_cửa,lafm_daau_maasy_cuwra
làm dâu trăm họ,làm_dâu_trăm_họ,lafm_daau_trawm_hoj
làm dấu,làm_dấu,lafm_daasu
làm dấu thánh,làm_dấu_thánh,lafm_daasu_thasnh
làm dịu,làm_dịu,lafm_diju
làm dơi làm chuột,làm_dơi_làm_chuột,lafm_dowi_lafm_chuoojt
làm duyên,làm_duyên,lafm_duyeen
làm dữ,làm_dữ,lafm_duwx
làm đau,làm_đau,lafm_ddau
làm đầu,làm_đầu,lafm_ddaafu
làm đĩ,làm_đĩ,lafm_ddix
làm điệu,làm_điệu,lafm_ddieeju
làm đỏm,làm_đỏm,lafm_ddorm
làm đỏm,làm_đỏm,lafm_ddorm
làm đổ,làm_đổ,lafm_ddoor
làm đồng,làm_đồng,lafm_ddoofng
làm gái,làm_gái,lafm_gasi
làm gì,làm_gì,lafm_gif
làm gì,làm_gì,lafm_gif
làm già,làm_già,lafm_giaf
làm giả,làm_giả,lafm_giar
làm giá,làm_giá,lafm_gias
làm giàu,làm_giàu,lafm_giafu
làm giặc,làm_giặc,lafm_giawjc
làm giấy,làm_giấy,lafm_giaasy
làm gió làm mưa,làm_gió_làm_mưa,lafm_gios_lafm_muwa
làm giúp,làm_giúp,lafm_giusp
làm gương,làm_gương,lafm_guwowng
làm hại,làm_hại,lafm_haji
làm hàng,làm_hàng,lafm_hafng
làm hỏng,làm_hỏng,lafm_horng
làm hư,làm_hư,lafm_huw
làm kêu,làm_kêu,lafm_keeu
làm khách,làm_khách,lafm_khasch
làm khó,làm_khó,lafm_khos
làm khó dễ,làm_khó_dễ,lafm_khos_deex
làm khoán,làm_khoán,lafm_khoasn
làm khổ,làm_khổ,lafm_khoor
làm không công,làm_không_công,lafm_khoong_coong
làm kiểng,làm_kiểng,lafm_kieerng
làm kiêu,làm_kiêu,lafm_kieeu
làm kiểu,làm_kiểu,lafm_kieeru
làm lại,làm_lại,lafm_laji
làm lành,làm_lành,lafm_lafnh
làm lạnh,làm_lạnh,lafm_lajnh
làm lẽ,làm_lẽ,lafm_lex
làm lễ,làm_lễ,lafm_leex
làm liều,làm_liều,lafm_lieefu
làm loạn,làm_loạn,lafm_loajn
làm lông,làm_lông,lafm_loong
làm lơ,làm_lơ,lafm_low
làm lợi,làm_lợi,lafm_lowji
làm lụng,làm_lụng,lafm_lujng
làm lương,làm_lương,lafm_luwowng
làm ma,làm_ma,lafm_ma
làm mai,làm_mai,lafm_mai
làm màu,làm_màu,lafm_mafu
làm mắm,làm_mắm,lafm_mawsm
làm mẫu,làm_mẫu,lafm_maaxu
làm mình làm mẩy,làm_mình_làm_mẩy,lafm_mifnh_lafm_maary
làm mồi,làm_mồi,lafm_moofi
làm mối,làm_mối,lafm_moosi
làm mùa,làm_mùa,lafm_mufa
làm mưa làm gió,làm_mưa_làm_gió,lafm_muwa_lafm_gios
làm mướn,làm_mướn,lafm_muwowsn
làm mướn không công,làm_mướn_không_công,lafm_muwowsn_khoong_coong
làm nên,làm_nên,lafm_neen
làm ngơ,làm_ngơ,lafm_ngow
làm người,làm_người,lafm_nguwowfi
làm nhàm,làm_nhàm,lafm_nhafm
làm nhàu,làm_nhàu,lafm_nhafu
làm nhục,làm_nhục,lafm_nhujc
làm nhụt,làm_nhụt,lafm_nhujt
làm như chó ỉa vãi,làm_như_chó_ỉa_vãi,lafm_nhuw_chos_ira_vaxi
làm như đánh vật,làm_như_đánh_vật,lafm_nhuw_ddasnh_vaajt
làm như mèo mửa,làm_như_mèo_mửa,lafm_nhuw_mefo_muwra
làm như trò phường chèo,làm_như_trò_phường_chèo,lafm_nhuw_trof_phuwowfng_chefo
làm nũng,làm_nũng,lafm_nuxng
làm nương,làm_nương,lafm_nuwowng
làm oai,làm_oai,lafm_oai
làm ồn,làm_ồn,lafm_oofn
làm ơn,làm_ơn,lafm_own
làm ơn nên oán,làm_ơn_nên_oán,lafm_own_neen_oasn
làm phách,làm_phách,lafm_phasch
làm phản,làm_phản,lafm_pharn
làm phép,làm_phép,lafm_phesp
làm phiền,làm_phiền,lafm_phieefn
làm phúc,làm_phúc,lafm_phusc
làm phúc cũng như làm giàu,làm_phúc_cũng_như_làm_giàu,lafm_phusc_cuxng_nhuw_lafm_giafu
làm phúc phải tội,làm_phúc_phải_tội,lafm_phusc_phari_tooji
làm quà,làm_quà,lafm_quaf
làm quan,làm_quan,lafm_quan
làm quen,làm_quen,lafm_quen
làm ra,làm_ra,lafm_ra
làm ra vẻ,làm_ra_vẻ,lafm_ra_ver
làm rầy,làm_rầy,lafm_raafy
làm rẫy,làm_rẫy,lafm_raaxy
làm rẽ,làm_rẽ,lafm_rex
làm reo,làm_reo,lafm_reo
làm rể,làm_rể,lafm_reer
làm rối,làm_rối,lafm_roosi
làm ruộng,làm_ruộng,lafm_ruoojng
làm sao,làm_sao,lafm_sao
làm thân,làm_thân,lafm_thaan
làm thân trâu ngựa,làm_thân_trâu_ngựa,lafm_thaan_traau_nguwja
làm thầy,làm_thầy,lafm_thaafy
làm theo,làm_theo,lafm_theo
làm thinh,làm_thinh,lafm_thinh
làm thịt,làm_thịt,lafm_thijt
làm thuê,làm_thuê,lafm_thuee
làm thuốc,làm_thuốc,lafm_thuoosc
làm tiệc,làm_tiệc,lafm_tieejc
làm tiền,làm_tiền,lafm_tieefn
làm tin,làm_tin,lafm_tin
làm tình,làm_tình,lafm_tifnh
làm tình làm tội,làm_tình_làm_tội,lafm_tifnh_lafm_tooji
làm toáng,làm_toáng,lafm_toasng
làm tổ,làm_tổ,lafm_toor
làm tôi,làm_tôi,lafm_tooi
làm tội,làm_tội,lafm_tooji
làm tới,làm_tới,lafm_towsi
làm trai,làm_trai,lafm_trai
làm trò,làm_trò,lafm_trof
làm tròn,làm_tròn,lafm_trofn
làm tròn số,làm_tròn_số,lafm_trofn_soos
làm tường,làm_tường,lafm_tuwowfng
làm vầy,làm_vầy,lafm_vaafy
làm vậy,làm_vậy,lafm_vaajy
làm vì,làm_vì,lafm_vif
làm việc,làm_việc,lafm_vieejc
làm vườn,làm_vườn,lafm_vuwowfn
làm vương làm tướng,làm_vương_làm_tướng,lafm_vuwowng_lafm_tuwowsng
làm xằng,làm_xằng,lafm_xawfng
làm xong,làm_xong,lafm_xong
lảm nhảm,lảm_nhảm,larm_nharm
lạm,lạm,lajm
lạm bàn,lạm_bàn,lajm_bafn
lạm bổ,lạm_bổ,lajm_boor
lạm dụng,lạm_dụng,lajm_dujng
lạm phát,lạm_phát,lajm_phast
lạm quyền,lạm_quyền,lajm_quyeefn
lạm sát,lạm_sát,lajm_sast
lạm thu,lạm_thu,lajm_thu
lạm tiêu,lạm_tiêu,lajm_tieeu
lambda,lambda,lambda
lan,lan,lan
lan bướm,lan_bướm,lan_buwowsm
lan can,lan_can,lan_can
lan chân rết,lan_chân_rết,lan_chaan_reest
lan đất,lan_đất,lan_ddaast
lan hạc đính,lan_hạc_đính,lan_hajc_ddisnh
lan hài,lan_hài,lan_hafi
lan man,lan_man,lan_man
lan nhai,lan_nhai,lan_nhai
lan quạt,lan_quạt,lan_quajt
lan quế,lan_quế,lan_quees
lan thông,lan_thông,lan_thoong
lan toả,lan_toả,lan_toar
lan tràn,lan_tràn,lan_trafn
lan trùng,lan_trùng,lan_trufng
lan truyền,lan_truyền,lan_truyeefn
làn,làn,lafn
làn điệu,làn_điệu,lafn_ddieeju
làn làn,làn_làn,lafn_lafn
làn sóng,làn_sóng,lafn_sosng
làn thảm,làn_thảm,lafn_tharm
lãn công,lãn_công,laxn_coong
lán,lán,lasn
lán trại,lán_trại,lasn_traji
lang,lang,lang
lang bang,lang_bang,lang_bang
lang bạt,lang_bạt,lang_bajt
lang bạt kì hồ,lang_bạt_kì_hồ,lang_bajt_kif_hoof
lang băm,lang_băm,lang_bawm
lang ben,lang_ben,lang_ben
lang chạ,lang_chạ,lang_chaj
lang cun,lang_cun,lang_cun
lang đạo,lang_đạo,lang_ddajo
lang lảng,lang_lảng,lang_larng
lang lổ,lang_lổ,lang_loor
lang miếu,lang_miếu,lang_mieesu
lang quân,lang_quân,lang_quaan
lang sói,lang_sói,lang_sosi
lang tạ,lang_tạ,lang_taj
lang thang,lang_thang,lang_thang
lang trắng,lang_trắng,lang_trawsng
lang trung,lang_trung,lang_trung
lang vườn,lang_vườn,lang_vuwowfn
lang y,lang_y,lang_y
làng,làng,lafng
làng bẹp,làng_bẹp,lafng_bejp
làng chiến đấu,làng_chiến_đấu,lafng_chieesn_ddaasu
làng chơi,làng_chơi,lafng_chowi
làng mạc,làng_mạc,lafng_majc
làng nghề,làng_nghề,lafng_ngheef
làng nhàng,làng_nhàng,lafng_nhafng
làng nho,làng_nho,lafng_nho
làng nước,làng_nước,lafng_nuwowsc
làng trên chạ dưới,làng_trên_chạ_dưới,lafng_treen_chaj_duwowsi
làng trên xóm dưới,làng_trên_xóm_dưới,lafng_treen_xosm_duwowsi
làng xã,làng_xã,lafng_xax
làng xóm,làng_xóm,lafng_xosm
lảng,lảng,larng
lảng lảng,lảng_lảng,larng_larng
lảng tai,lảng_tai,larng_tai
lảng tránh,lảng_tránh,larng_trasnh
lảng trí,lảng_trí,larng_tris
lảng vảng,lảng_vảng,larng_varng
lãng,lãng,laxng
lãng du,lãng_du,laxng_du
lãng đãng,lãng_đãng,laxng_ddaxng
lãng mạn,lãng_mạn,laxng_majn
lãng mạn hoá,lãng_mạn_hoá,laxng_majn_hoas
lãng ngâm,lãng_ngâm,laxng_ngaam
lãng nhách,lãng_nhách,laxng_nhasch
lãng phí,lãng_phí,laxng_phis
lãng quên,lãng_quên,laxng_queen
lãng trí,lãng_trí,laxng_tris
lãng tử,lãng_tử,laxng_tuwr
lãng uyển,lãng_uyển,laxng_uyeern
lãng xẹt,lãng_xẹt,laxng_xejt
láng,láng,lasng
láng bóng,láng_bóng,lasng_bosng
láng cháng,láng_cháng,lasng_chasng
láng diềng,láng_diềng,lasng_dieefng
láng giềng,láng_giềng,lasng_gieefng
láng máng,láng_máng,lasng_masng
lạng,lạng,lajng
lạng lách,lạng_lách,lajng_lasch
lạng quạng,lạng_quạng,lajng_quajng
lạng ta,lạng_ta,lajng_ta
lanh,lanh,lanh
lanh canh,lanh_canh,lanh_canh
lanh chai,lanh_chai,lanh_chai
lanh chanh,lanh_chanh,lanh_chanh
lanh lảnh,lanh_lảnh,lanh_larnh
lanh lánh,lanh_lánh,lanh_lasnh
lanh lẹ,lanh_lẹ,lanh_lej
lanh lẹn,lanh_lẹn,lanh_lejn
lanh lợi,lanh_lợi,lanh_lowji
lanh tanh,lanh_tanh,lanh_tanh
lanh tô,lanh_tô,lanh_too
lanh-tô,lanh-tô,lanh-too
lành,lành,lafnh
lành canh,lành_canh,lafnh_canh
lành chanh,lành_chanh,lafnh_chanh
lành chanh lành chói,lành_chanh_lành_chói,lafnh_chanh_lafnh_chosi
lành da,lành_da,lafnh_da
lành dạ,lành_dạ,lafnh_daj
"lành đồn xa, dữ đồn xa","lành_đồn_xa,_dữ_đồn_xa","lafnh_ddoofn_xa,_duwx_ddoofn_xa"
lành hanh,lành_hanh,lafnh_hanh
"lành làm gáo, vỡ làm muôi","lành_làm_gáo,_vỡ_làm_muôi","lafnh_lafm_gaso,_vowx_lafm_muooi"
"lành làm thúng, rách làm mê","lành_làm_thúng,_rách_làm_mê","lafnh_lafm_thusng,_rasch_lafm_mee"
lành lạnh,lành_lạnh,lafnh_lajnh
lành lặn,lành_lặn,lafnh_lawjn
lành mạnh,lành_mạnh,lafnh_majnh
lành mạnh hoá,lành_mạnh_hoá,lafnh_majnh_hoas
lành ngạnh,lành_ngạnh,lafnh_ngajnh
lành nghề,lành_nghề,lafnh_ngheef
lành như bụt,lành_như_bụt,lafnh_nhuw_bujt
lành như đất,lành_như_đất,lafnh_nhuw_ddaast
lành tính,lành_tính,lafnh_tisnh
lảnh,lảnh,larnh
lảnh lảnh,lảnh_lảnh,larnh_larnh
lảnh lói,lảnh_lói,larnh_losi
lảnh lót,lảnh_lót,larnh_lost
lãnh,lãnh,laxnh
lãnh binh,lãnh_binh,laxnh_binh
lãnh cảm,lãnh_cảm,laxnh_carm
lãnh canh,lãnh_canh,laxnh_canh
lãnh chúa,lãnh_chúa,laxnh_chusa
lãnh cung,lãnh_cung,laxnh_cung
lãnh dục,lãnh_dục,laxnh_dujc
lãnh đại,lãnh_đại,laxnh_ddaji
lãnh đạm,lãnh_đạm,laxnh_ddajm
lãnh đạo,lãnh_đạo,laxnh_ddajo
lãnh địa,lãnh_địa,laxnh_ddija
lãnh hải,lãnh_hải,laxnh_hari
lãnh hội,lãnh_hội,laxnh_hooji
lãnh ngoại quyền,lãnh_ngoại_quyền,laxnh_ngoaji_quyeefn
lãnh nguyên,lãnh_nguyên,laxnh_nguyeen
lãnh sam,lãnh_sam,laxnh_sam
lãnh sự,lãnh_sự,laxnh_suwj
lãnh sự quán,lãnh_sự_quán,laxnh_suwj_quasn
lãnh sự tài phán,lãnh_sự_tài_phán,laxnh_suwj_tafi_phasn
lãnh thổ,lãnh_thổ,laxnh_thoor
lãnh tụ,lãnh_tụ,laxnh_tuj
lãnh vực,lãnh_vực,laxnh_vuwjc
lánh,lánh,lasnh
lánh mặt,lánh_mặt,lasnh_mawjt
lánh mình,lánh_mình,lasnh_mifnh
lánh nạn,lánh_nạn,lasnh_najn
lánh xa,lánh_xa,lasnh_xa
lạnh,lạnh,lajnh
lạnh bụng,lạnh_bụng,lajnh_bujng
lạnh buốt,lạnh_buốt,lajnh_buoost
lạnh cóng,lạnh_cóng,lajnh_cosng
lạnh dạ,lạnh_dạ,lajnh_daj
lạnh gáy,lạnh_gáy,lajnh_gasy
lạnh giá,lạnh_giá,lajnh_gias
lạnh lẽo,lạnh_lẽo,lajnh_lexo
lạnh lùng,lạnh_lùng,lajnh_lufng
lạnh ngắt,lạnh_ngắt,lajnh_ngawst
lạnh người,lạnh_người,lajnh_nguwowfi
lạnh nhạt,lạnh_nhạt,lajnh_nhajt
lạnh như tiền,lạnh_như_tiền,lajnh_nhuw_tieefn
lạnh tanh,lạnh_tanh,lajnh_tanh
lạnh toát,lạnh_toát,lajnh_toast
lạnh xương sống,lạnh_xương_sống,lajnh_xuwowng_soosng
lanhtô,lanhtô,lanhtoo
lao,lao,lao
lao cải,lao_cải,lao_cari
lao công,lao_công,lao_coong
lao dịch,lao_dịch,lao_dijch
lao đao,lao_đao,lao_ddao
lao đầu,lao_đầu,lao_ddaafu
lao động,lao_động,lao_ddoojng
lao động cần thiết,lao_động_cần_thiết,lao_ddoojng_caafn_thieest
lao động giản đơn,lao_động_giản_đơn,lao_ddoojng_giarn_ddown
lao động phức tạp,lao_động_phức_tạp,lao_ddoojng_phuwsc_tajp
lao động quá khứ,lao_động_quá_khứ,lao_ddoojng_quas_khuws
lao động sống,lao_động_sống,lao_ddoojng_soosng
lao động tất yếu,lao_động_tất_yếu,lao_ddoojng_taast_yeesu
lao động thặng dư,lao_động_thặng_dư,lao_ddoojng_thawjng_duw
lao động tiên tiến,lao_động_tiên_tiến,lao_ddoojng_tieen_tieesn
lao động vật hoá,lao_động_vật_hoá,lao_ddoojng_vaajt_hoas
lao hạch,lao_hạch,lao_hajch
lao kê,lao_kê,lao_kee
lao khổ,lao_khổ,lao_khoor
lao lí,lao_lí,lao_lis
lao lung,lao_lung,lao_lung
lao lực,lao_lực,lao_luwjc
lao lý,lao_lý,lao_lys
lao màn,lao_màn,lao_mafn
lao móc,lao_móc,lao_mosc
lao nhao,lao_nhao,lao_nhao
lao như tên bắn,lao_như_tên_bắn,lao_nhuw_teen_bawsn
lao phiền,lao_phiền,lao_phieefn
lao tâm,lao_tâm,lao_taam
lao tâm khổ trí,lao_tâm_khổ_trí,lao_taam_khoor_tris
lao tâm khổ tứ,lao_tâm_khổ_tứ,lao_taam_khoor_tuws
lao tù,lao_tù,lao_tuf
lao tư,lao_tư,lao_tuw
lao vụ,lao_vụ,lao_vuj
lao xao,lao_xao,lao_xao
lào,lào,lafo
lào,lào,lafo
lào bốc,lào_bốc,lafo_boosc
lào nọi,lào_nọi,lafo_noji
lào phào,lào_phào,lafo_phafo
lào quào,lào_quào,lafo_quafo
lào thào,lào_thào,lafo_thafo
lào xào,lào_xào,lafo_xafo
lảo đảo,lảo_đảo,laro_ddaro
lão,lão,laxo
lão bà,lão_bà,laxo_baf
lão bệnh học,lão_bệnh_học,laxo_beejnh_hojc
lão bộc,lão_bộc,laxo_boojc
lão dân quân,lão_dân_quân,laxo_daan_quaan
lão dê,lão_dê,laxo_dee
lão đồng chí,lão_đồng_chí,laxo_ddoofng_chis
lão gia,lão_gia,laxo_gia
lão giả an chi,lão_giả_an_chi,laxo_giar_an_chi
lão giáo,lão_giáo,laxo_giaso
lão hoá,lão_hoá,laxo_hoas
lão hủ,lão_hủ,laxo_hur
lão khoa,lão_khoa,laxo_khoa
lão làng,lão_làng,laxo_lafng
lão luyện,lão_luyện,laxo_luyeejn
lão mẫu,lão_mẫu,laxo_maaxu
lão mưu,lão_mưu,laxo_muwu
lão ngốc,lão_ngốc,laxo_ngoosc
lão nhiêu,lão_nhiêu,laxo_nhieeu
lão nông,lão_nông,laxo_noong
lão nông tri điền,lão_nông_tri_điền,laxo_noong_tri_ddieefn
lão ông,lão_ông,laxo_oong
lão quyền,lão_quyền,laxo_quyeefn
lão suy,lão_suy,laxo_suy
lão sư,lão_sư,laxo_suw
lão thành,lão_thành,laxo_thafnh
lão thân,lão_thân,laxo_thaan
lão thần,lão_thần,laxo_thaafn
lão thị,lão_thị,laxo_thij
lão thực,lão_thực,laxo_thuwjc
lão trượng,lão_trượng,laxo_truwowjng
láo,láo,laso
láo lếu,láo_lếu,laso_leesu
láo liên,láo_liên,laso_lieen
láo liếng,láo_liếng,laso_lieesng
láo nháo,láo_nháo,laso_nhaso
láo quáo,láo_quáo,laso_quaso
láo toét,láo_toét,laso_toest
láo xược,láo_xược,laso_xuwowjc
lạo thảo,lạo_thảo,lajo_tharo
lạo xạo,lạo_xạo,lajo_xajo
láp nháp,láp_nháp,lasp_nhasp
lạp xường,lạp_xường,lajp_xuwowfng
lạp xưởng,lạp_xưởng,lajp_xuwowrng
lari,lari,lari
laser,laser,laser
lat,lat,lat
lát,lát,last
lát hoa,lát_hoa,last_hoa
lát ti,lát_ti,last_ti
lát-ti,lát-ti,last-ti
lát-xê,lát-xê,last-xee
lạt,lạt,lajt
lạt lẽo,lạt_lẽo,lajt_lexo
lạt màu,lạt_màu,lajt_mafu
lạt mềm buộc chặt,lạt_mềm_buộc_chặt,lajt_meefm_buoojc_chawjt
lạt sạt,lạt_sạt,lajt_sajt
lati,lati,lati
latin,latin,latin
latti,latti,latti
lau,lau,lau
lau chau,lau_chau,lau_chau
lau chùi,lau_chùi,lau_chufi
lau hau,lau_hau,lau_hau
lau lách,lau_lách,lau_lasch
lau láu,lau_láu,lau_lasu
lau nhau,lau_nhau,lau_nhau
lau sậy,lau_sậy,lau_saajy
làu,làu,lafu
làu bà làu bàu,làu_bà_làu_bàu,lafu_baf_lafu_bafu
làu bàu,làu_bàu,lafu_bafu
làu làu,làu_làu,lafu_lafu
làu nhàu,làu_nhàu,lafu_nhafu
làu thông,làu_thông,lafu_thoong
lảu bảu,lảu_bảu,laru_baru
lảu nhảu,lảu_nhảu,laru_nharu
lảu thông,lảu_thông,laru_thoong
láu,láu,lasu
láu cá,láu_cá,lasu_cas
láu lỉnh,láu_lỉnh,lasu_lirnh
láu ta láu táu,láu_ta_láu_táu,lasu_ta_lasu_tasu
láu táu,láu_táu,lasu_tasu
láu tôm láu cá,láu_tôm_láu_cá,lasu_toom_lasu_cas
láu xáu,láu_xáu,lasu_xasu
lạu bạu,lạu_bạu,laju_baju
lavabo,lavabo,lavabo
lavabô,lavabô,lavaboo
lave,lave,lave
lay,lay,lay
lay bay,lay_bay,lay_bay
lay chuyển,lay_chuyển,lay_chuyeern
lay-dơn,lay-dơn,lay-down
lay động,lay_động,lay_ddoojng
lay hoay,lay_hoay,lay_hoay
lay lay,lay_lay,lay_lay
lay láy,lay_láy,lay_lasy
lay lắt,lay_lắt,lay_lawst
lay lất,lay_lất,lay_laast
lay lứt,lay_lứt,lay_luwst
lay nhay,lay_nhay,lay_nhay
lay-ơn,lay-ơn,lay-own
lay ơn,lay_ơn,lay_own
lay trời chuyển đất,lay_trời_chuyển_đất,lay_trowfi_chuyeern_ddaast
lày quày,lày_quày,lafy_quafy
lảy,lảy,lary
lảy bảy,lảy_bảy,lary_bary
láy,láy,lasy
láy âm,láy_âm,lasy_aam
láy chùm,láy_chùm,lasy_chufm
láy rền,láy_rền,lasy_reefn
lạy,lạy,lajy
lạy cả nón,lạy_cả_nón,lajy_car_nosn
lạy lục,lạy_lục,lajy_lujc
lạy như tế sao,lạy_như_tế_sao,lajy_nhuw_tees_sao
lạy ông tôi ở bụi này,lạy_ông_tôi_ở_bụi_này,lajy_oong_tooi_owr_buji_nafy
lạy tạ,lạy_tạ,lajy_taj
lạy van,lạy_van,lajy_van
layơn,layơn,layown
laze,laze,laze
lắc,lắc,lawsc
lắc cắc,lắc_cắc,lawsc_cawsc
lắc đầu,lắc_đầu,lawsc_ddaafu
lắc đầu lè lưỡi,lắc_đầu_lè_lưỡi,lawsc_ddaafu_lef_luwowxi
lắc-lê,lắc-lê,lawsc-lee
lắc lê,lắc_lê,lawsc_lee
lắc lơ,lắc_lơ,lawsc_low
lắc lư,lắc_lư,lawsc_luw
lắc rắc,lắc_rắc,lawsc_rawsc
lặc là lặc lè,lặc_là_lặc_lè,lawjc_laf_lawjc_lef
lặc lè,lặc_lè,lawjc_lef
lăclê,lăclê,lawclee
lăm,lăm,lawm
lăm chăm,lăm_chăm,lawm_chawm
lăm lăm,lăm_lăm,lawm_lawm
lăm lẳm,lăm_lẳm,lawm_lawrm
lăm le,lăm_le,lawm_le
lăm nhăm,lăm_nhăm,lawm_nhawm
lăm tăm,lăm_tăm,lawm_tawm
lăm xăm,lăm_xăm,lawm_xawm
lằm bằm,lằm_bằm,lawfm_bawfm
lằm lằm,lằm_lằm,lawfm_lawfm
lằm lặm,lằm_lặm,lawfm_lawjm
lắm,lắm,lawsm
lắm bạc nhiều tiền,lắm_bạc_nhiều_tiền,lawsm_bajc_nhieefu_tieefn
lắm chuyện,lắm_chuyện,lawsm_chuyeejn
lắm điều,lắm_điều,lawsm_ddieefu
lắm lắm,lắm_lắm,lawsm_lawsm
lắm mối tối nằm không,lắm_mối_tối_nằm_không,lawsm_moosi_toosi_nawfm_khoong
lắm mồm,lắm_mồm,lawsm_moofm
lắm mồm lắm miệng,lắm_mồm_lắm_miệng,lawsm_moofm_lawsm_mieejng
lắm sãi không ai đóng cửa chùa,lắm_sãi_không_ai_đóng_cửa_chùa,lawsm_saxi_khoong_ai_ddosng_cuwra_chufa
lắm thầy nhiều ma,lắm_thầy_nhiều_ma,lawsm_thaafy_nhieefu_ma
lắm thầy rầy ma,lắm_thầy_rầy_ma,lawsm_thaafy_raafy_ma
"lắm thầy thối ma, lắm cha con khó lấy chồng","lắm_thầy_thối_ma,_lắm_cha_con_khó_lấy_chồng","lawsm_thaafy_thoosi_ma,_lawsm_cha_con_khos_laasy_choofng"
lắm thầy thối ma,lắm_thầy_thối_ma,lawsm_thaafy_thoosi_ma
lắm trò,lắm_trò,lawsm_trof
lặm,lặm,lawjm
lăn,lăn,lawn
lăn bánh,lăn_bánh,lawn_basnh
lăn chiêng,lăn_chiêng,lawn_chieeng
lăn cổ,lăn_cổ,lawn_coor
lăn cù,lăn_cù,lawn_cuf
lăn đùng,lăn_đùng,lawn_ddufng
lăn đường,lăn_đường,lawn_dduwowfng
lăn kềnh,lăn_kềnh,lawn_keefnh
lăn lóc,lăn_lóc,lawn_losc
lăn long lóc,lăn_long_lóc,lawn_long_losc
lăn lộn,lăn_lộn,lawn_loojn
lăn lưng,lăn_lưng,lawn_luwng
lăn phăn,lăn_phăn,lawn_phawn
lăn quay,lăn_quay,lawn_quay
lăn queo,lăn_queo,lawn_queo
lăn tay,lăn_tay,lawn_tay
lăn tăn,lăn_tăn,lawn_tawn
lăn xả,lăn_xả,lawn_xar
lằn,lằn,lawfn
lẳn,lẳn,lawrn
lẳn mình trắm,lẳn_mình_trắm,lawrn_mifnh_trawsm
lặn,lặn,lawjn
lặn hụp,lặn_hụp,lawjn_hujp
lặn lội,lặn_lội,lawjn_looji
lặn ngòi ngoi nước,lặn_ngòi_ngoi_nước,lawjn_ngofi_ngoi_nuwowsc
lặn ngòi ngoi suối,lặn_ngòi_ngoi_suối,lawjn_ngofi_ngoi_suoosi
lặn ngụp,lặn_ngụp,lawjn_ngujp
lặn suối trèo non,lặn_suối_trèo_non,lawjn_suoosi_trefo_non
lăng,lăng,lawng
lăng băng,lăng_băng,lawng_bawng
lăng căng,lăng_căng,lawng_cawng
lăng kính,lăng_kính,lawng_kisnh
lăng lắc,lăng_lắc,lawng_lawsc
lăng líu,lăng_líu,lawng_lisu
lăng loàn,lăng_loàn,lawng_loafn
lăng mạ,lăng_mạ,lawng_maj
lăng miếu,lăng_miếu,lawng_mieesu
lăng mộ,lăng_mộ,lawng_mooj
lăng nhăng,lăng_nhăng,lawng_nhawng
